date,unlock_count,app_events
2013-03-24,0.0,14894
2013-03-25,0.0,19222
2013-03-26,1.0,14846
2013-03-27,118.0,17720
2013-03-28,149.0,25926
2013-03-29,169.0,32660
2013-03-30,162.0,30852
2013-03-31,169.0,31254
2013-04-01,183.0,35575
2013-04-02,211.0,36492
2013-04-03,234.0,36517
2013-04-04,174.0,37957
2013-04-05,199.0,38521
2013-04-06,164.0,34469
2013-04-07,145.0,26970
2013-04-08,186.0,29863
2013-04-09,174.0,33547
2013-04-10,185.0,38950
2013-04-11,175.0,38946
2013-04-12,196.0,39180
2013-04-13,148.0,38108
2013-04-14,154.0,38883
2013-04-15,174.0,35405
2013-04-16,153.0,40010
2013-04-17,157.0,39273
2013-04-18,181.0,39489
2013-04-19,164.0,37397
2013-04-20,129.0,34483
2013-04-21,170.0,36512
2013-04-22,150.0,41507
2013-04-23,163.0,42576
2013-04-24,154.0,36524
2013-04-25,141.0,35276
2013-04-26,160.0,33125
2013-04-27,155.0,34614
2013-04-28,139.0,33379
2013-04-29,145.0,30449
2013-04-30,132.0,32039
2013-05-01,153.0,33154
2013-05-02,126.0,29482
2013-05-03,139.0,30472
2013-05-04,88.0,27490
2013-05-05,103.0,27811
2013-05-06,131.0,28653
2013-05-07,128.0,27818
2013-05-08,157.0,24452
2013-05-09,120.0,20369
2013-05-10,118.0,20379
2013-05-11,109.0,19509
2013-05-12,123.0,20430
2013-05-13,153.0,24978
2013-05-14,117.0,28059
2013-05-15,147.0,30135
2013-05-16,105.0,28297
2013-05-17,106.0,24327
2013-05-18,87.0,19288
2013-05-19,112.0,15753
2013-05-20,124.0,20452
2013-05-21,107.0,20915
2013-05-22,108.0,18516
2013-05-23,109.0,18325
2013-05-24,98.0,15847
2013-05-25,88.0,16878
2013-05-26,87.0,14565
2013-05-27,95.0,15441
2013-05-28,128.0,17281
2013-05-29,95.0,17086
2013-05-30,78.0,10938
2013-05-31,65.0,9181
2013-06-01,8.0,5631
2013-06-02,0.0,4431
2013-06-03,0.0,5887
2013-06-04,0.0,4831
2013-06-05,0.0,3759
2013-06-06,0.0,2442
2013-06-07,0.0,1462
2013-06-08,0.0,1120
2013-06-09,0.0,1067
2013-06-10,0.0,959
2013-06-11,0.0,1153
2013-06-12,0.0,1239
2013-06-13,0.0,133
2013-06-14,0.0,500
2013-06-15,0.0,428
2013-06-16,0.0,233
2013-06-17,0.0,387
2013-06-18,0.0,26
2013-06-19,0.0,126
2013-06-20,0.0,466
2013-06-21,0.0,648
2013-06-22,0.0,259
2013-06-23,0.0,65
2013-06-24,0.0,89
2013-06-25,0.0,68
2013-06-30,0.0,165
2013-07-01,0.0,1115
2013-07-02,0.0,574
2013-07-03,0.0,358
2013-07-04,0.0,276
2013-07-05,0.0,446
2013-07-06,0.0,212
2013-07-08,0.0,251
2014-01-17,0.0,13
